,y,x
1,195.06127207975712,164.57255547701544
2,250.6963487018297,172.79968690065897
3,227.54810275744305,142.8358695980147
4,192.6813217707527,206.24615416995127
5,147.84948963811303,165.79571093216038
6,195.25797204960463,177.19236661112464
7,226.371071995245,223.99695787777782
8,219.49456999359785,116.81946099378052
9,251.79926547069866,206.6435148393789
10,311.0562080355432,152.29004472081738
11,324.728406728141,210.40678056057484
12,302.4264029690808,171.03875170665782
13,272.2516312121089,163.57227312202943
14,260.49008006998025,133.7429265413328
15,434.3426261089085,215.7730915879208
16,176.99300163854875,331.4404253031368
17,217.5722409133883,303.65200684727915
18,127.49219957028191,348.9595084278939
19,166.03730355673147,320.9840724124046
20,291.12793454995057,347.18749138562936
21,347.01953826498584,267.7982998735485
22,344.9007569330885,281.5609283049817
24,379.46283140656766,265.54874894384915
25,470.99105438147905,375.7615587284096
26,435.53200343998066,441.51746960989715
27,195.38713431539236,160.21126461999128
28,237.82468536042393,228.583201582741
29,211.00789561397417,176.10081956728465
30,261.23894332504415,202.9091284607532
31,314.5672251280136,148.31683668856448
32,207.52428674103464,314.870107170112
33,227.8280955994469,334.97597338619
34,143.4872796774523,266.615465698342
35,277.91947442035996,394.36096572136296
36,230.97311119808754,156.19335989829665
37,177.82733968463626,224.9759110396906
39,214.27938050224037,256.7538935961917
40,177.3360096339583,290.3993944764873
41,152.06482716707418,279.4162368936721
42,454.1033923325006,259.41543545458575
43,316.1905581443382,389.95480047606213
44,299.03264339110274,384.8350919470196
45,493.53309088696557,429.02603594066204
46,286.85734075331413,130.07170790469726
47,341.5124537185287,289.81870496960715
49,263.4206526170752,303.8922191246095
50,266.0095571942368,292.02723615849055
51,392.947234837336,292.27247436636173
52,303.34512663026635,368.20558076970747
53,331.0803642257189,197.89737906971789
54,301.74694629368435,324.2559939492993
55,264.31033582235875,264.30104387346216
56,230.85369363005688,315.4937305782254
57,189.62311169605343,273.37673972191567
59,289.7682444611914,277.745233290521
60,244.1925080639258,154.12380923524452
61,195.95408131793897,234.3578931853533
62,300.9056377989304,165.18903753944707
63,370.5178072056341,214.69799644671372
64,385.88520145852675,196.60547264391036
65,243.23353443873944,270.84934897641466
67,259.07305055037324,333.0777704619293
68,269.33721295841104,319.2391031718536
69,257.65850325199744,414.31795797104866
70,285.5135724174524,415.4982694136543
72,148.13027357710237,302.4901143120058
73,286.4588830504056,256.5611791893412
74,310.9065005958307,271.47428411158353
75,506.9311339381233,324.7289632569673
79,166.59140347361986,167.26082194365262
81,212.39737659769375,342.28823008594856
82,158.29112685365328,259.12618789715
83,297.62292033724344,299.95016762720905
84,514.9520796977434,310.6674814419757
85,435.88636070864584,438.0024400571961
