,animal_velocity
00:00:00,0.28111783437803817
00:00:00.200000,0.289744446971161
00:00:00.400000,0.2983710595642837
00:00:00.600000,0.3069976721574065
00:00:00.800000,0.3156242847505293
00:00:01,0.31778093789881
00:00:01.200000,0.3168607650443203
00:00:01.400000,0.3159405921898306
00:00:01.600000,0.31502041933534103
00:00:01.800000,0.3141002464808513
00:00:02,0.3234582688889976
00:00:02.200000,0.3371625292391789
00:00:02.400000,0.3508667895893603
00:00:02.600000,0.3645710499395417
00:00:02.800000,0.378275310289723
00:00:03,0.3817013753772683
00:00:03.200000,0.3672490364406784
00:00:03.400000,0.3527966975040885
00:00:03.600000,0.3383443585674986
00:00:03.800000,0.32389201963090875
00:00:04,0.3189956800527775
00:00:04.200000,0.3317370125307224
00:00:04.400000,0.3444783450086673
00:00:04.600000,0.3572196774866122
00:00:04.800000,0.3699610099645571
00:00:05,0.3731463430840433
00:00:05.200000,0.3645137492908096
00:00:05.400000,0.3558811554975758
00:00:05.600000,0.3472485617043421
00:00:05.800000,0.3386159679111083
00:00:06,0.3299833741178746
00:00:06.200000,0.32913557115910674
00:00:06.400000,0.3282877682003389
00:00:06.600000,0.3274399652415711
00:00:06.800000,0.32659216228280324
00:00:07,0.3257443593240354
00:00:07.200000,0.3189595847936358
00:00:07.400000,0.31217481026323624
00:00:07.600000,0.30539003573283663
00:00:07.800000,0.2986052612024371
00:00:08,0.2997775729481473
00:00:08.200000,0.3103870213162938
00:00:08.400000,0.3209964696844403
00:00:08.600000,0.3316059180525867
00:00:08.800000,0.3422153664207332
00:00:09,0.3448677285127698
00:00:09.200000,0.3291064426495262
00:00:09.400000,0.3133451567862826
00:00:09.600000,0.2975838709230389
00:00:09.800000,0.2818225850597953
00:00:10,0.2717964254025125
00:00:10.200000,0.2794432603437935
00:00:10.400000,0.2870900952850745
00:00:10.600000,0.2947369302263555
00:00:10.800000,0.3023837651676365
00:00:11,0.4591050164225778
00:00:11.200000,0.6655177397820726
00:00:11.400000,0.8719304631415674
00:00:11.600000,1.0783431865010622
00:00:11.800000,1.2847559098605572
00:00:12,1.3411657243307142
00:00:12.200000,1.3475745691710923
00:00:12.400000,1.3539834140114704
00:00:12.600000,1.3603922588518484
00:00:12.800000,1.3668011036922263
00:00:13,1.3684033149023211
00:00:13.200000,1.320854221223872
00:00:13.400000,1.2733051275454237
00:00:13.600000,1.2257560338669746
00:00:13.800000,1.178206940188526
00:00:14,1.1306578465100772
00:00:14.200000,0.988416658006881
00:00:14.400000,0.8461754695036849
00:00:14.600000,0.7039342810004888
00:00:14.800000,0.5616930924972927
00:00:15,0.5140150611839018
00:00:15.200000,0.6400992707703087
00:00:15.400000,0.7661834803567156
00:00:15.600000,0.8922676899431226
00:00:15.800000,1.0183518995295295
00:00:16,1.0498729519261312
00:00:16.200000,0.9804092982604312
00:00:16.400000,0.9109456445947312
00:00:16.600000,0.8414819909290311
00:00:16.800000,0.7720183372633311
00:00:17,0.8597744837413092
00:00:17.200000,1.06940088393288
00:00:17.400000,1.2790272841244508
00:00:17.600000,1.4886536843160214
00:00:17.800000,1.6982800845075925
00:00:18,1.7520445662472433
00:00:18.200000,1.7538550751695874
00:00:18.400000,1.7556655840919315
00:00:18.600000,1.757476093014276
00:00:18.800000,1.7592866019366202
00:00:19,1.7597392291672065
00:00:19.200000,1.536460382008176
00:00:19.400000,1.3131815348491462
00:00:19.600000,1.089902687690116
00:00:19.800000,0.8666238405310861
00:00:20,0.6757268979878104
00:00:20.200000,0.7189027708088161
00:00:20.400000,0.7620786436298219
00:00:20.600000,0.8052545164508276
00:00:20.800000,0.8484303892718333
00:00:21,0.913824109435742
00:00:21.200000,0.9866237787139512
00:00:21.400000,1.0594234479921607
00:00:21.600000,1.1322231172703705
00:00:21.800000,1.2050227865485796
00:00:22,1.3786762963744381
00:00:22.200000,1.5859477530495123
00:00:22.400000,1.7932192097245867
00:00:22.600000,2.0004906663996613
00:00:22.800000,2.2077621230747355
00:00:23,2.2595799872435043
00:00:23.200000,2.10379829673076
00:00:23.400000,1.9480166062180144
00:00:23.600000,1.792234915705269
00:00:23.800000,1.636453225192524
00:00:24,1.4806715346797792
00:00:24.200000,1.374915309868212
00:00:24.400000,1.2691590850566454
00:00:24.600000,1.1634028602450786
00:00:24.800000,1.0576466354335117
00:00:25,2.1491687839560543
00:00:25.200000,3.7455399484015337
00:00:25.400000,5.341911112847013
00:00:25.600000,6.938282277292492
00:00:25.800000,8.534653441737971
00:00:26,8.93374623284934
00:00:26.200000,7.421212975772088
00:00:26.400000,5.9086797186948345
00:00:26.600000,4.396146461617583
00:00:26.800000,2.88361320454033
00:00:27,1.4289593670724932
00:00:27.200000,1.5061319265517144
00:00:27.400000,1.5833044860309355
00:00:27.600000,1.6604770455101567
00:00:27.800000,1.7376496049893781
00:00:28,2.1459267665064514
00:00:28.200000,2.664572128702809
00:00:28.400000,3.1832174908991666
00:00:28.600000,3.7018628530955247
00:00:28.800000,4.220508215291884
00:00:29,6.156034542046702
00:00:29.200000,8.563854523654342
00:00:29.400000,10.971674505261984
00:00:29.600000,13.379494486869627
00:00:29.800000,15.787314468477266
00:00:30,16.389269463879174
00:00:30.200000,14.257190989531932
00:00:30.400000,12.125112515184693
00:00:30.600000,9.993034040837449
00:00:30.800000,7.860955566490206
00:00:31,5.728877092142966
00:00:31.200000,5.5343355270228365
00:00:31.400000,5.339793961902705
00:00:31.600000,5.145252396782574
00:00:31.800000,4.950710831662443
00:00:32,4.756169266542313
00:00:32.200000,4.278747560282352
00:00:32.400000,3.8013258540223913
00:00:32.600000,3.3239041477624305
00:00:32.800000,2.8464824415024688
00:00:33,2.4718307863357496
00:00:33.200000,2.608857521126738
00:00:33.400000,2.7458842559177263
00:00:33.600000,2.882910990708715
00:00:33.800000,3.0199377254997035
00:00:34,3.0541944091974504
00:00:34.200000,2.8491435169700288
00:00:34.400000,2.6440926247426084
00:00:34.600000,2.4390417325151867
00:00:34.800000,2.233990840287766
00:00:35,2.028939948060345
00:00:35.200000,1.853903953748064
00:00:35.400000,1.6788679594357832
00:00:35.600000,1.503831965123502
00:00:35.800000,1.328795970811221
00:00:36,1.15375997649894
00:00:36.200000,1.0386148842423386
00:00:36.400000,0.9234697919857374
00:00:36.600000,0.8083246997291361
00:00:36.800000,0.6931796074725349
00:00:37,0.6724735265286158
00:00:37.200000,0.7983922082788586
00:00:37.400000,0.9243108900291016
00:00:37.600000,1.0502295717793442
00:00:37.800000,1.1761482535295869
00:00:38,1.207627923967148
00:00:38.200000,1.0936751900457735
00:00:38.400000,0.9797224561243992
00:00:38.600000,0.8657697222030248
00:00:38.800000,0.7518169882816504
00:00:39,0.637864254360276
00:00:39.200000,0.6327121909525982
00:00:39.400000,0.6275601275449204
00:00:39.600000,0.6224080641372425
00:00:39.800000,0.6172560007295647
00:00:40,0.7288144487728985
00:00:40.200000,0.884428464040914
00:00:40.400000,1.0400424793089296
00:00:40.600000,1.195656494576945
00:00:40.800000,1.3512705098449604
00:00:41,1.5292235141637305
00:00:41.200000,1.7146228481660846
00:00:41.400000,1.9000221821684389
00:00:41.600000,2.0854215161707934
00:00:41.800000,2.2708208501731475
00:00:42,2.317170683673736
00:00:42.200000,2.1979586875414245
00:00:42.400000,2.0787466914091133
00:00:42.600000,1.9595346952768016
00:00:42.800000,1.8403226991444896
00:00:43,1.7211107030121784
00:00:43.200000,1.451175551249083
00:00:43.400000,1.1812403994859877
00:00:43.600000,0.9113052477228925
00:00:43.800000,0.641370095959797
00:00:44,0.3993433277368093
00:00:44.200000,0.4365545057902864
00:00:44.400000,0.4737656838437635
00:00:44.600000,0.5109768618972406
00:00:44.800000,0.5481880399507177
00:00:45,0.5798286683388731
00:00:45.200000,0.6096124468385881
00:00:45.400000,0.639396225338303
00:00:45.600000,0.6691800038380179
00:00:45.800000,0.6989637823377328
00:00:46,0.7344070580911894
00:00:46.200000,0.7717368329292267
00:00:46.400000,0.8090666077672639
00:00:46.600000,0.8463963826053011
00:00:46.800000,0.8837261574433384
00:00:47,1.0172157164167897
00:00:47.200000,1.182758536768712
00:00:47.400000,1.3483013571206344
00:00:47.600000,1.5138441774725568
00:00:47.800000,1.679386997824479
00:00:48,2.017311594404521
00:00:48.200000,2.4126967830606034
00:00:48.400000,2.8080819717166854
00:00:48.600000,3.203467160372768
00:00:48.800000,3.5988523490288493
00:00:49,3.6976986461928703
00:00:49.200000,3.4027663108045862
00:00:49.400000,3.1078339754163014
00:00:49.600000,2.8129016400280165
00:00:49.800000,2.517969304639732
00:00:50,2.2230369692514467
00:00:50.200000,1.9893903093504808
00:00:50.400000,1.7557436494495149
00:00:50.600000,1.5220969895485483
00:00:50.800000,1.2884503296475822
00:00:51,1.1020278974943265
00:00:51.200000,1.1649935344912743
00:00:51.400000,1.227959171488222
00:00:51.600000,1.2909248084851694
00:00:51.800000,1.353890445482117
00:00:52,1.3696318547313542
00:00:52.200000,1.3530300897950331
00:00:52.400000,1.336428324858712
00:00:52.600000,1.3198265599223908
00:00:52.800000,1.3032247949860698
00:00:53,1.2866230300497488
00:00:53.200000,1.2192563876450877
00:00:53.400000,1.1518897452404266
00:00:53.600000,1.0845231028357656
00:00:53.800000,1.0171564604311047
00:00:54,0.9630903983256338
00:00:54.200000,0.9808245053912206
00:00:54.400000,0.9985586124568072
00:00:54.600000,1.016292719522394
00:00:54.800000,1.0340268265879808
00:00:55,1.0384603533543777
